Qcount, Qval, Angsum
414, -1.61218, 25.8708
415, -1.59884, 26.0302
416, -1.5855, 25.8676
417, -1.57215, 25.919
418, -1.55881, 25.8727
419, -1.54547, 25.8896
420, -1.53213, 25.8618
421, -1.51878, 25.7535
422, -1.50544, 25.9198
423, -1.4921, 25.7913
424, -1.47875, 25.7575
425, -1.46541, 25.6638
426, -1.45207, 25.7245
427, -1.43873, 25.6357
428, -1.42538, 25.62
429, -1.41204, 25.767
430, -1.3987, 25.6694
431, -1.38536, 25.6091
432, -1.37201, 25.6967
433, -1.35867, 25.6652
434, -1.34533, 25.5897
435, -1.33198, 25.6122
436, -1.31864, 25.5437
437, -1.3053, 25.5036
438, -1.29196, 25.543
439, -1.27861, 25.4551
440, -1.26527, 25.6178
441, -1.25193, 25.4045
442, -1.23859, 25.4013
443, -1.22524, 25.6461
444, -1.2119, 25.3694
445, -1.19856, 25.5374
446, -1.18522, 25.2728
447, -1.17187, 25.2854
448, -1.15853, 25.2473
449, -1.14519, 25.3726
450, -1.13184, 25.3995
451, -1.1185, 25.3958
452, -1.10516, 25.2419
453, -1.09182, 25.3704
454, -1.07847, 25.1658
455, -1.06513, 25.0966
456, -1.05179, 25.1692
457, -1.03845, 25.2293
458, -1.0251, 25.0383
459, -1.01176, 25.0627
460, -0.998417, 24.9205
461, -0.985074, 24.8512
462, -0.971732, 25.0396
463, -0.958389, 25.1632
464, -0.945046, 24.9127
465, -0.931704, 24.908
466, -0.918361, 24.6905
467, -0.905018, 24.8173
468, -0.891676, 24.6258
469, -0.878333, 24.517
470, -0.86499, 24.6403
471, -0.851647, 24.4972
472, -0.838305, 24.6715
473, -0.824962, 24.5834
474, -0.811619, 24.6404
475, -0.798277, 24.6296
476, -0.784934, 24.524
477, -0.771591, 24.318
478, -0.758248, 24.3369
479, -0.744906, 24.3067
480, -0.731563, 24.3654
481, -0.71822, 24.2872
482, -0.704878, 24.2177
483, -0.691535, 24.2116
484, -0.678192, 24.3048
485, -0.664849, 24.1442
486, -0.651507, 24.0485
487, -0.638164, 24.2741
488, -0.624821, 24.2752
489, -0.611479, 24.2617
490, -0.598136, 24.0912
491, -0.584793, 24.1748
492, -0.571451, 24.1522
493, -0.558108, 23.9757
494, -0.544765, 23.9687
495, -0.531422, 23.9895
496, -0.51808, 24.1506
497, -0.504737, 24.1102
498, -0.491394, 24.1266
499, -0.478052, 23.9819
500, -0.464709, 23.9027
